Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Andrei Svechnikov,RW,68,24,37,9,54,183,1138,27,116,0,1,svechan01
Evgeny Svechnikov,LW,4,0,0,-1,2,7,33,1,5,0,0,svechev01
Jordan Szwarz,RW,3,0,0,0,2,2,15,1,6,4,5,szwarjo01
Brandon Tanev,LW,68,11,14,-1,16,95,1004,65,244,6,9,tanevbr01
Chris Tanev,D,69,2,18,4,41,45,1348,159,32,0,0,tanevch01
Vladimir Tarasenko,RW,10,3,7,-2,0,26,162,7,17,0,0,tarasvl01
Tomas Tatar,C,68,22,39,5,36,162,1108,24,79,9,16,tatarto01
John Tavares,C,63,26,34,-7,24,197,1232,31,32,617,499,tavarjo01
Matt Tennyson,D,20,0,3,-2,6,14,243,18,27,0,0,tennyma01
Teuvo Teravainen,F,68,15,48,20,8,182,1305,30,18,26,27,teravte01
Troy Terry,C,47,4,11,-5,6,73,682,9,3,3,5,terrytr01
Alexandre Texier,C,36,6,7,3,10,49,459,7,20,22,41,texieal01
Shea Theodore,D,71,13,33,12,25,219,1579,69,20,0,0,theodsh01
Robert Thomas,C,66,10,32,9,18,87,961,13,13,136,181,thomaro01
Nate Thompson,C,70,4,11,-1,30,67,895,50,118,433,354,thompna01
Tage Thompson,C,1,0,0,0,0,0,7,0,2,0,0,thompta01
Joe Thornton,C,70,7,24,-19,34,76,1085,29,20,323,331,thornjo01
Calvin Thurkauf,C,3,0,0,0,0,1,25,0,5,2,0,thurkca01
Chris Tierney,C,71,11,26,-6,20,102,1220,37,44,521,497,tiernch01
Dmytro Timashov,LW,44,4,5,1,16,37,375,11,93,0,0,timasdm01
Conor Timmins,D,2,0,0,2,0,1,21,0,0,0,0,timmico01
Jarred Tinordi,D,28,1,4,-1,34,20,465,36,71,0,0,tinorja01
Brady Tkachuk,LW,71,21,23,-14,106,259,1344,43,303,144,168,tkachbr01
Matthew Tkachuk,LW,69,23,38,-5,74,188,1263,22,122,0,4,tkachma01
Devon Toews,D,68,6,22,1,16,122,1395,75,55,0,0,toewsde01
Jonathan Toews,C,70,18,42,-2,48,172,1384,35,56,856,638,toewsjo01
Tyler Toffoli,C,68,24,20,-1,20,203,1146,16,48,4,10,toffoty01
Dominic Toninato,C,46,4,7,4,37,38,513,28,57,128,144,tonindo01
Yakov Trenin,C,21,2,4,1,9,25,204,9,46,3,1,treniya01
Vincent Trocheck,C,62,11,27,-8,49,141,1037,37,101,434,398,trochvi01
Zach Trotman,D,8,0,0,-1,4,11,118,10,21,0,0,trotmza01
Jacob Trouba,D,70,7,20,-12,61,168,1580,128,173,0,0,troubja01
Alexander True,F,12,0,4,1,2,12,120,2,23,32,37,trueal01
Alex Tuch,RW,42,8,9,-10,8,98,614,20,58,8,20,tuchal01
Kyle Turris,C,62,9,22,-9,22,88,956,25,18,246,272,turriky01
Carsen Twarynski,F,15,1,0,-2,4,14,160,8,40,0,2,twaryca01
T.J. Tynan,C,16,0,1,-1,2,7,136,3,7,3,15,tynant.01
Urho Vaakanainen,D,5,0,0,2,0,2,84,3,8,0,0,vaakaur01
James van Riemsdyk,LW,66,19,21,5,8,151,983,18,25,8,15,vanrija01
Trevor van Riemsdyk,D,49,1,7,-7,10,58,728,37,21,0,0,vanritr01
Sami Vatanen,D,47,5,18,-12,22,95,1022,80,50,0,0,vatansa01
Frank Vatrano,LW,69,16,18,-8,30,162,1036,43,102,12,28,vatrafr01
